Description,Views,Likes,Comments,Shares,Bookmarks,Post URL
"✨ I’m partnering with @Bombas to share something that goes beyond just purchasing a product for yourself. For every pair of socks I wear, Bombas donates a pair to someone facing homelessness because socks are the #1 most requested clothing item in shelters. 🧦💛 Make every purchase count and shop #BombasPartner Use ARIANA21  to get 21% off your first purchase!","957","75","2","0","0","https://www.tiktok.com/@ariana.ramsey/video/7554116898133183758"
"BACK AT IT AGAINNNN 😖😖😖🥲 @suglizz @AC @Rach @Kaylen ","3315","407","5","20","3","https://www.tiktok.com/@ariana.ramsey/video/7553768002399882509"
"","1888","263","5","0","2","https://www.tiktok.com/@ariana.ramsey/video/7553009081863146766"
"Words from the wise 😏 aka coach Kara Lawson ","2101","218","1","0","4","https://www.tiktok.com/@ariana.ramsey/video/7552577829599235383"
"Upper body lift 🏋🏽‍♀️ #gym #rugby #upperbodyworkouts ","717","90","2","0","4","https://www.tiktok.com/@ariana.ramsey/video/7551088665829707022"
"Yea soooo that’s why 🤗😭 #rugby ","1010","134","9","2","1","https://www.tiktok.com/@ariana.ramsey/video/7550845843134254391"
"Clock ittttt cause nahhh😭😭 we are BOTH getting married 😭😭","912","115","6","0","0","https://www.tiktok.com/@ariana.ramsey/video/7550844934291508535"
"I’m back and I’m better yalll, come train with me for the day 🤗  #rugby #olympian #usarugby  ","925","143","3","0","1","https://www.tiktok.com/@ariana.ramsey/video/7550833852126694670"
"If we took rugby calls literally part 2 🤣🤣 #rugby #usarugby #rugby7s @kkarinagauto @suglizz @AC ","2824","374","1","10","3","https://www.tiktok.com/@ariana.ramsey/video/7546620724052577591"
"HAD US CRASHING OUTTTT #RUGBY #rugbyworldcup @Rach @kkarinagauto  ","278","23","0","1","0","https://www.tiktok.com/@ariana.ramsey/video/7542261014801157389"
"Networking is key to the success of the growth of any brand! So if you’re looking to find some conferences to attend, check out ANA marketers! #networking #marketing #branddeals #sponsorships ","1162","147","8","0","1","https://www.tiktok.com/@ariana.ramsey/video/7538161042531110158"
"JUST DO IT!  #gymmotivation #olympian ","1046","115","2","1","3","https://www.tiktok.com/@ariana.ramsey/video/7534857078301658381"
"Fun fact: You only get paid if you win!!😖😖😖 🥇🥈🥉 which is really crazy to me because I feel like you should get a bonus AT LEAST for becoming an Olympian!! #rugby #olympics","1577","186","6","4","1","https://www.tiktok.com/@ariana.ramsey/video/7530375846121524494"
"ISSA ROCK 🤭💍 #fiancee💍 ","7035","852","17","8","10","https://www.tiktok.com/@ariana.ramsey/video/7521531353792285965"
"I was actually so surprised y’all! Cheers to us and so much more to come in our journey🥹🫶🏼","1517","295","29","1","2","https://www.tiktok.com/@ariana.ramsey/photo/7521127264646434103"
"Engagement Story Time 💍😆","1121","169","26","6","2","https://www.tiktok.com/@ariana.ramsey/video/7521124801281346830"
"I’m a walking rugby advertisement 😂 #usarugby #rugby ","1464","222","7","0","1","https://www.tiktok.com/@ariana.ramsey/video/7514135011356888363"
"I’m obsessed with @Hero US 🤭🥰","866","95","3","0","1","https://www.tiktok.com/@ariana.ramsey/video/7509610672867626282"
