Description,Views,Likes,Comments,Shares,Bookmarks,Post URL
"stay present and positive :) #athlete #advice #fyp #trending #compete #artisticswimming #swimming ","1528","136","0","0","8","https://www.tiktok.com/@call.me.kekes/video/7523689856074042655"
"happy 4th of july everyone!! it was so wonderful being a part of the Issaquah parade and getting to ride in this beautiful bronco! Thank you @Ford Motor Company :) #parade #4thofjuly #usa #olympian #fyp #issaquah #wa #pnw ","1715","85","3","9","2","https://www.tiktok.com/@call.me.kekes/video/7523336905111489822"
"it’s a constant battle for me 😭😂 #athlete #break #training #sports #fyp #trending ","4174","379","2","15","10","https://www.tiktok.com/@call.me.kekes/video/7519950498095435038"
"i had the best time going back to my old elementary school talking to students 🥹 i always love giving back to my hometown and hopefully inspiring kids to achieve their dreams 🤩 #olympian #olympicday #giveback #foryou #student #sport #almostforgotthisisthepoint ","1887","190","2","3","1","https://www.tiktok.com/@call.me.kekes/video/7519348409476664606"
"every sport is unique! we actually cross train with ballet, gymnastics, and crossfit along with everything else we do in the pool :) #sport #trending #fyp #trendingsound #artisticswimming ","12900","1083","2","19","26","https://www.tiktok.com/@call.me.kekes/video/7518867511975234847"
"i really am paying attention but sometimes i can’t help the little dance 🤩😂 #athlete #workout #fyp #trending ","1189","60","0","0","2","https://www.tiktok.com/@call.me.kekes/video/7518187465933344031"
"moving helps my nerves and my blood flow 😂 #anxiety #athlete #performance #fyp #trending ","2706","280","4","1","11","https://www.tiktok.com/@call.me.kekes/video/7518184435699731743"
"taking the first step away from the “majority” can be hard, but ultimately it can spark a positive change in your journey! #advice #change #goals #yougotthis #fyp #trending ","1054","74","3","3","1","https://www.tiktok.com/@call.me.kekes/video/7517729825541426463"
"come w me to get my olympic rings tattoo! 🤩 #athlete #tattoo #olympians #vlog #fyp ","2709","235","13","2","2","https://www.tiktok.com/@call.me.kekes/video/7517476735030512926"
"maybe this should’ve stayed in the drafts 😂 @Keeeee01 #fyp #random #dreaming ","1327","73","3","2","1","https://www.tiktok.com/@call.me.kekes/video/7516803151387741471"
"my last 2 brain cells at the end of practice 👀 😂@rubyrem #practice #trendingsound #808 #fyp #athlete ","9788","862","7","49","47","https://www.tiktok.com/@call.me.kekes/video/7515636866540915998"
"my favorite post practice drink  #latte #coffee #practice #athlete #trending #obsessed #fyp ","1082","65","3","1","1","https://www.tiktok.com/@call.me.kekes/video/7514470522487360798"
"much needed break :) #fyp #trending #summer #break ","1794","154","1","2","2","https://www.tiktok.com/@call.me.kekes/video/7513740581722541343"
"no description just vibes #thrifting #LA #summer #trending #fyp ","1315","85","1","3","2","https://www.tiktok.com/@call.me.kekes/video/7513703862532967710"
"this was funny in my head #athlete #college #summer #trending #osu #fypシ ","1350","146","4","5","2","https://www.tiktok.com/@call.me.kekes/video/7512991019911204126"
"we can be pretty harsh on ourselves when it comes to fixing mistakes… don’t stress! you can fix it sometimes it’s a different process for everyone. no need to compare yourself to others around you, you do you boo. #athlete #advice #trending #sun #sports #secret ","927","44","3","3","1","https://www.tiktok.com/@call.me.kekes/video/7512181214581656862"
"something abt it hits different i love it🤩 @lovemysilk #athlete #college #buckeye #silkmilk #trending #fyp ","2113","196","0","8","4","https://www.tiktok.com/@call.me.kekes/video/7511512465973267742"
"everyone looks so good doing this dance…  #trending #fyp #dance #trendingsound ","1190","55","0","1","1","https://www.tiktok.com/@call.me.kekes/video/7511424747494722846"
"reality is professional athletes get nervous too ;) mental strength is a big part of being an athlete and i am still working on it every day!! #trending #fyp #athlete #sports #advice ","7135","700","2","8","7","https://www.tiktok.com/@call.me.kekes/video/7510717800491650334"
"i want one so bad 🥹 they are so precious 🥰 #prettylittlebaby #cow #cute #trending #fyp ","943","49","2","1","2","https://www.tiktok.com/@call.me.kekes/video/7510042065003154719"
"reminder that everyone has a different environment, this is a recommendation for when it makes the most sense for you 😊 hope this helps! #advice #athletes #foryoupage #trending ","1062","92","2","7","3","https://www.tiktok.com/@call.me.kekes/video/7509953749348011294"
"this is for all my anxious/overthinking people out there (same). it can feel really hard to get out of that negative headspace, believe me, i know. i promise it will be worth it if you at least try!! #tip #trendin #athlete #fyp #advice ","1068","68","1","5","2","https://www.tiktok.com/@call.me.kekes/video/7509198141762047263"
"I love getting to explain my sport because it is so unique. More and more people are starting to understand the strength and endurance it takes to compete. My favorite thing to remind people is to try your sport, and now hold your breath :) #artisticswimming #olympics #sports #trending #fyp #athlete #holyairball ","17300","2366","5","29","69","https://www.tiktok.com/@call.me.kekes/photo/7509180548749856031"
"Mount Rainer is so beautiful 🤩🏔️#nature #travel #traveltiktok #beauty #rainer #trending ","818","43","1","0","1","https://www.tiktok.com/@call.me.kekes/video/7508869814811675934"
"i get a lot of questions from people asking if i felt nervous at the Olympics… yes!! of course i did! it was the biggest competition of my life. that being said, i also had years of training for my mind to overcome nerves and accept them as an opportunity for growth instead. i treated the games as a challenge to stay calm and do what i do at every meet: take one thing at a time. staying present in the moment has gotten me through a lot of tough moments in my career. i truly believe it can make all the difference in athletic ability. #athlete #trust #advice #nerves #sports #trending #fyp #trend ","1680","173","0","1","5","https://www.tiktok.com/@call.me.kekes/video/7507812286732553502"
"this is super random but food for thought just saying #straw #random #trending #water #fyp ","1137","64","1","7","1","https://www.tiktok.com/@call.me.kekes/video/7507432372887964959"
"will post the event soon! #olympian #event #fyp #getreadywithme #viral ","1187","67","3","2","2","https://www.tiktok.com/@call.me.kekes/video/7507096459586702622"
"it was definitely a unique experience… #storytime #fyp #california #adventure #viral #sports ","1061","75","1","2","3","https://www.tiktok.com/@call.me.kekes/video/7506692312227941662"
"i got the rythym down tho #artisticswimming #dance #rockyourbody #viral #trending #fyp ","27400","2392","7","101","101","https://www.tiktok.com/@call.me.kekes/video/7506752198668258591"
"it’s even worse now because i’ve been on a break 😭#swimming #artisticswimming #trending #fyp ","4330","429","0","29","8","https://www.tiktok.com/@call.me.kekes/video/7506318416538635550"
"happy sunday ;) #sunday #calm #trending #fyp ","1053","70","3","2","3","https://www.tiktok.com/@call.me.kekes/video/7505919264096898334"
"that’s all, nutella 4 life ;) #foodie #foryoupage #trending #athlete ","2627","135","3","1","1","https://www.tiktok.com/@call.me.kekes/video/7505612645953719582"
"don’t start w me 🙉🙈 #fyp #artswim #friends ","11400","1718","8","52","67","https://www.tiktok.com/@call.me.kekes/video/7505282378730917150"
"tell me i’m not the only one who experiences this when home from college 😂 #fyp #catsoftiktok #dogsoftiktok #college ","987","73","2","0","1","https://www.tiktok.com/@call.me.kekes/video/7504740879958101278"
"i have a love hate relationship with barracudas :): always trying to improve! #artswim #fyp #sports ","4765","343","4","6","26","https://www.tiktok.com/@call.me.kekes/video/7504825936064351518"
"like all they want is to be loved and safe 🥺🥺 #catsoftiktok #shelter #rescue #fyp ","1159","60","1","2","2","https://www.tiktok.com/@call.me.kekes/video/7504490414418808094"
"what helps you do better at practice? also lmk if anyone wants to know what i just did in the pool ;) #fyp #sports #artswim ","1199","66","1","0","5","https://www.tiktok.com/@call.me.kekes/video/7504493511866191135"
"i prefer to float it’s easier on the joints #swimming #artswim #fyp ","11800","1654","6","97","41","https://www.tiktok.com/@call.me.kekes/video/7504153476142828830"
"she’s too cute watching me leave 😭🥹#cat #fyp ","759","24","2","0","1","https://www.tiktok.com/@call.me.kekes/video/7503743615974378783"
"these tips have helped me get through a lot of stressful moments in school, I hope they can help you! my next video will be abt sports! #school #studentathlete #fyp #balance ","1185","90","1","1","3","https://www.tiktok.com/@call.me.kekes/video/7503770618781879583"
"I hope this helps anyone who may be struggling🫶 it can make a huge difference in how you attack your next practice ;)💪🏼 #fyp #advice ","2563","192","1","8","17","https://www.tiktok.com/@call.me.kekes/video/7502598202667879711"
"pursuing what you love is always worth it ❤️🫶 #fyp #paris #sports ","6655","409","3","5","7","https://www.tiktok.com/@call.me.kekes/video/7502311405345934622"
"trying new things is so important! #fyp #modeling #trynewthings ","1334","85","8","7","0","https://www.tiktok.com/@call.me.kekes/video/7502151125336919327"
"many different sports involve a team aspect! anything else you would like to know? #sports #artisticswimming #fyp ","1079","66","1","0","2","https://www.tiktok.com/@call.me.kekes/video/7501907054102170910"
"Missing the village and my girls a little more today 🥹❤️@Daniella Ramirez  @rubyrem #olympics #teamusa #fyp ","3080","306","1","4","1","https://www.tiktok.com/@call.me.kekes/video/7501407934061055263"
"it’s a personal offense 😂😭 #fyp #artswim #sports ","17200","2243","18","156","103","https://www.tiktok.com/@call.me.kekes/video/7501124186518113566"
"these are too real 😂 happy cinco de mayo #fyp #passingthephone #bf @Landon  ","1079","72","1","2","1","https://www.tiktok.com/@call.me.kekes/video/7501119983196409119"
"how I got started in synchro! #fyp #sports #story ","1472","108","7","2","1","https://www.tiktok.com/@call.me.kekes/video/7500727411521146143"
"Olympic team vs College Team! Questions? #fyp #sports #artswim ","4167","310","0","2","18","https://www.tiktok.com/@call.me.kekes/video/7499955967807835422"
"Going from the Olympics to OSU, ask any questions you have! #fyp #sports #olympics #osu #artswim ","2016","175","6","2","1","https://www.tiktok.com/@call.me.kekes/video/7499640320284445982"
"Replying to @ivy Why I decided to swim in college! Is there any specifics you want to know? #fyp #usa #college #osu #sports #artswim ","2747","211","2","2","5","https://www.tiktok.com/@call.me.kekes/video/7499129124926016799"
"just a little about me, feel free to ask me questions! #fyp #sports #artswim ","9077","1081","25","7","41","https://www.tiktok.com/@call.me.kekes/video/7498884836652797215"
"Salmon bowl with bok choy and pork dumplings! #foodie #cooking #fyp ","1220","52","2","0","3","https://www.tiktok.com/@call.me.kekes/video/7495596453528669471"
"so good!! i love finding new amazing coffee places 🤩@7brewcoffee #coffee #fyp ","1075","55","2","1","0","https://www.tiktok.com/@call.me.kekes/video/7495149560147250462"
"sushi night challenge @Landon #foodie #sushi #fyp ","1090","44","7","3","1","https://www.tiktok.com/@call.me.kekes/video/7493714679651503390"
"guess what sport we are #fyp #trending #team ","6659","107","4","0","1","https://www.tiktok.com/@call.me.kekes/video/7471786222281624862"
"happy valentine’s day :)🫶@Landon #valentinesday #trending ","1296","57","3","2","1","https://www.tiktok.com/@call.me.kekes/video/7471377890303692062"
"Lets go LA28 🤩🤩🇺🇸💪🏼#olympics #LA #usa #trending #flag #fypシ゚viral @Team USA  @LA28 @delta ","10600","525","3","5","24","https://www.tiktok.com/@call.me.kekes/video/7402645743418215710"
"so much walking in so  much heat 😂 was amazing though 🤩 #olympics #fypシ゚viral #trendin #usa ","12400","485","6","9","22","https://www.tiktok.com/@call.me.kekes/video/7402033604068396319"
"closing ceremony type beat #paris #olympics #closing #2024 #hottogochappellroan #chappellroan ","3680","266","3","3","13","https://www.tiktok.com/@call.me.kekes/video/7402020187425295646"
"silver medalist babyyyyy #olympics #medal #silver #paris #2024 #trendin ","41600","3084","22","15","84","https://www.tiktok.com/@call.me.kekes/video/7400814568957594911"
"actually it’s a penalty 😆 #olympics #sports #teamusa #trendingsong #artisticswimming #swimming ","8875","337","4","1","10","https://www.tiktok.com/@call.me.kekes/video/7399293808099347742"
"tragic loss #muffin #usa #olympics #village #food #fypシ゚viral #flop @Daniella Ramirez @Audrey ","2805","107","1","2","3","https://www.tiktok.com/@call.me.kekes/video/7398904506320293151"
"❤️turkey sammiches #village #olympics #chill #sammich #usa #bear ","2524","113","0","0","3","https://www.tiktok.com/@call.me.kekes/video/7398592298101034271"
"nervous bc simone biles looked at us doing this 😭👯‍♀️ #team #usa #olympics #skims #village #kimkardashian ","15200","729","1","16","18","https://www.tiktok.com/@call.me.kekes/video/7398165405640019231"
"can comfirm muffin=perfection #olympicvillage #olympics #usa #muffin ","7440","357","10","5","12","https://www.tiktok.com/@call.me.kekes/video/7397891529827732766"
"it is in fact a big deal tho 💪🏼🇺🇸 so honored 🤩#trending #olympics #teamusa #artisticswimming #fypシ゚viral ","4139","261","3","3","4","https://www.tiktok.com/@call.me.kekes/video/7397837120393481503"
"This trend but USA Gear in different USA Team Places 🇺🇸🇺🇸#teamusa #trending #olympics #paris #artisticswimming ","359000","4260","6","11","102","https://www.tiktok.com/@call.me.kekes/video/7397441076329581855"
"dreams come true🤩💖 #paris @Team USA @USA Artistic Swimming @WorldAquatics #olympics #fypage #chlorine #fypシ゚viral #teamusa #trending #artisticswimming @Daniella Ramirez @rubyrem @jaime @ANITA KAY @Audrey","2332","139","5","7","6","https://www.tiktok.com/@call.me.kekes/video/7396385401168071967"
"Chlorine is not our friend 😭😭@Daniella Ramirez #chlorine #swimming #fypシ゚viral #teamusa #olympics ","33400","1233","0","41","26","https://www.tiktok.com/@call.me.kekes/video/7394194995135122718"
"@Daniella Ramirez we match ;)👯‍♀️💖#trending #roommates #artisticswimming #fypシ゚viral ","7401","785","5","35","37","https://www.tiktok.com/@call.me.kekes/video/7390879062434073886"
"FREE TEAM TONIGHT LAST EVENT 🇺🇸🇺🇸🇺🇸🇺🇸😤😤💪🏼💪🏼#super #final #sports #swim #artisticswimming @Daniella Ramirez @Bob ","22500","1234","2","19","18","https://www.tiktok.com/@call.me.kekes/video/7388839383253765406"
"Acro Hair 🤩 #worldcup #artisticswimming #knox #gel #synchro #olympics #teamusa #swimming #fypシ゚viral @Daniella Ramirez ","16000","1065","6","48","41","https://www.tiktok.com/@call.me.kekes/video/7388592007163251999"
"Olympic team photo shoot 🤩🇺🇸#team #teamusa #olympics #2024 #artswim @rubyrem @Daniella Ramirez ","10100","1136","11","12","49","https://www.tiktok.com/@call.me.kekes/video/7378274748716961054"
"laundry day ☀️🌝#laundry #cleantok #booktok #pizza #trending #fypシ #travel ","3573","103","2","0","2","https://www.tiktok.com/@call.me.kekes/video/7335161798162746667"
"like why they do that #travel #wifi #why #fyp ","3277","108","0","0","1","https://www.tiktok.com/@call.me.kekes/video/7333818990692683054"
"breakfast!!🐣 #worldchampionship #swim #artisticswimming #teamusa #breakfast #fyp #food ","4685","306","2","7","4","https://www.tiktok.com/@call.me.kekes/video/7333495971839577387"
"my little zion ❤️ #cat #rescue #you #fyp #shelter ","2375","33","1","0","2","https://www.tiktok.com/@call.me.kekes/photo/7333269195171466542"
"sauna and ice recovery!! @Daniella Ramirez #restore #icebath #sauna #fypシ #recovery #worlds #doha ","2398","150","3","3","8","https://www.tiktok.com/@call.me.kekes/video/7332922549971455278"
"do competition hair with me! #hair #acrobatics #teamusa #artisticswimming #fypシ #swim #gel ","15700","613","1","2","17","https://www.tiktok.com/@call.me.kekes/video/7331641759564385579"
"pack with me! #doha #swim #artisticswimming #worlds #fypシ #athlete #packing ","17400","1648","10","5","63","https://www.tiktok.com/@call.me.kekes/video/7331344635198967082"
"she da best🤧😘 #besties #roommates #fypシ @Daniella Ramirez ","2286","66","0","2","2","https://www.tiktok.com/@call.me.kekes/video/7330320082893114666"
"waiting for my laundry to finish 🫧 #laundry #fyp #eyes","1615","20","0","0","1","https://www.tiktok.com/@call.me.kekes/video/7305916888914070814"
"nothing like halloween bowling 👻🎃","2077","34","2","0","1","https://www.tiktok.com/@call.me.kekes/video/7295850464707497258"
