Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
"that being brave when you had every reason to doubt would get you here.  God never says no to your dreams, he shows you the way to chase them. #olympian ",79800,3563,13,17,110,https://www.tiktok.com/@daniellaaramirezzz/photo/7406433708162534687,8/23/2024 0:00
"Spent my time since the games in Denmark on a farm reflecting and being w friends. Cant believe its already time to go home 🥹, im gonna miss it here ",58500,732,8,10,27,https://www.tiktok.com/@daniellaaramirezzz/video/7406299562412903710,8/23/2024 4:44
Im constantly looking for new products to really be waterproof AND @GLAMZILLA really showed me how much technique goes into it. So here I am using what she taught me to build my infallible game face to last me all day! #LOrealParisPartner #LOrealParisMakup #InfallibleGameFace #SetforSuccess,62400,649,7,14,54,https://www.tiktok.com/@daniellaaramirezzz/video/7405257765314153759,8/20/2024 9:22
STAY TUNED FOR FREE TEAM DAY. This was the knox I did for Day 1 of competiton at the Olympic Games. I miss the team already 🥺 #teamusa #olympian #olympics #artisticswimming #artisticswimmer #olympicvillage ,377700,10600,31,87,320,https://www.tiktok.com/@daniellaaramirezzz/video/7404533927550930207,8/18/2024 10:33
DID THE BROADCAST CATCH THIS????,233000,26800,53,227,765,https://www.tiktok.com/@daniellaaramirezzz/video/7401986216645741854,8/11/2024 13:46
"we are about to hit the stadium, theme of france is literally no AC to the very end #teamusa #olympian #olympics ",99600,2519,12,37,58,https://www.tiktok.com/@daniellaaramirezzz/video/7401968114054761759,8/11/2024 12:36
Replying to @Vic Fuentes ,282100,43100,216,1639,889,https://www.tiktok.com/@daniellaaramirezzz/video/7401452076099833118,8/10/2024 3:14
I cant believe my life rn. YALL ALREADY KNOW MY PROUNOUNS ,308500,12300,115,34,228,https://www.tiktok.com/@daniellaaramirezzz/video/7400722283205266719,8/8/2024 4:02
OH YEAH BABY OH FREAKING YEAHHHHHHHHHHHHHHHHHH,265100,13800,439,35,165,https://www.tiktok.com/@daniellaaramirezzz/video/7400543790219480351,8/7/2024 16:29
TECH TEAM!!!!! TONIGHT TUNE IN ON NBC AND PEACOCK! #teamusa #olympian #olympics #artisticswimming #artisticswimmer #olympicvillage #hair #knox #gelatina #myhairitdontmove ,24600000,405700,897,11000,11100,https://www.tiktok.com/@daniellaaramirezzz/video/7399766871488171294,8/5/2024 14:14
T- 3 DAYSSSSS AHHHHH   #teamusa #olympian #olympics #artisticswimming #artisticswimming #artisticswimmer ,365700,4807,25,23,109,https://www.tiktok.com/@daniellaaramirezzz/video/7398482873638079774,8/2/2024 3:12
its quite the line but def worth  #teamusa #olympian #olympics #artisticswimming #artisticswimmer #olympicvillage ,294800,2216,2,16,48,https://www.tiktok.com/@daniellaaramirezzz/video/7398452246595357982,8/2/2024 1:13
PLZ I CANT #teamusa #olympian #olympics #artisticswimming #artisticswimmer ,290700,1956,6,11,53,https://www.tiktok.com/@daniellaaramirezzz/video/7398251816485424415,8/1/2024 12:15
DO YOU KNOW… THE MUFFIN MAN??? #teamusa #olympian #olympics #artisticswimming #artisticswimmer #olympicvillage ,245300,4903,13,62,91,https://www.tiktok.com/@daniellaaramirezzz/video/7398229625983274270,8/1/2024 10:49
"i literally cant look at the wall too long, i cry 🥲🥰🥰🥰🥰 feeling the love all the way in paris  #teamusa #olympian #olympics #artisticswimming #artisticswimmer #olympicvillage ",244400,5434,17,24,112,https://www.tiktok.com/@daniellaaramirezzz/video/7397870504910097695,7/31/2024 11:35
"She said sorry after but, i had to gove her a piggy back ride there hahah#teamusa #olympian #olympics #artisticswimming #artisticswimmer ",231500,2175,8,11,42,https://www.tiktok.com/@daniellaaramirezzz/video/7397751888722005278,7/31/2024 3:55
What an absolutely AMAZING EXPERIENCE WOW CLON NOW LETS GOOO,256600,5950,14,19,119,https://www.tiktok.com/@daniellaaramirezzz/video/7397401020512472351,7/30/2024 5:14
THIS IS OUR HOUSEEE,323300,6758,21,11,106,https://www.tiktok.com/@daniellaaramirezzz/video/7397081977922391326,7/29/2024 8:35
Team USA HOUSE! #teamusa #olympian #olympics #artisticswimming #artisticswimmer ,557900,16600,73,231,407,https://www.tiktok.com/@daniellaaramirezzz/video/7396644888902782238,7/28/2024 4:19
I CANT WAIT TO WEAR THESE FOR CLOSING OH MY LORDDDDD!!! #teamusa #olympian #olympics #artisticswimming @Team USA @Olympics ,378500,4177,19,47,106,https://www.tiktok.com/@daniellaaramirezzz/video/7396387460097281310,7/27/2024 11:40
YOURE JOKING #teamusa #olympian #olympics #artisticswimming ,966600,43200,174,159,886,https://www.tiktok.com/@daniellaaramirezzz/video/7396108380739357982,7/26/2024 17:37
Lebron & @Coco Gauff ATE as flag bearers today 😗🤌,2300000,322600,606,11400,7905,https://www.tiktok.com/@daniellaaramirezzz/video/7396103306629647647,7/26/2024 17:18
OUR TEAM USA WELCOME EXPERIENCE IS IN ONE HOUR IM SO IMPATIENT RIGHT NOW PLZZZZZ @Team USA ,333800,3682,6,20,99,https://www.tiktok.com/@daniellaaramirezzz/video/7395589577928363295,7/25/2024 8:04
,309600,4207,23,4,86,https://www.tiktok.com/@daniellaaramirezzz/photo/7395359990074166559,7/24/2024 0:00
i actually cannot believe we are FLYING ALREADY??? WHAT ,315200,7141,21,25,104,https://www.tiktok.com/@daniellaaramirezzz/video/7395350761464466719,7/24/2024 16:37
AHHHHHHHHHH,297400,3394,9,16,94,https://www.tiktok.com/@daniellaaramirezzz/video/7395343109573332255,7/24/2024 16:08
NOW THIS IS UNHEARD OF. Ive literally never had this happen before but omg idk how Anita did this.  CANT WAIT FOR THE OLYMPIC KNOX SOON.  #teamusa #olympian #olympics #olympicscountdown #artisticswimming #olympics #artisticswimming #hair #knox #gelatina #artisticswimmer ,13300000,565600,340,965,7741,https://www.tiktok.com/@daniellaaramirezzz/video/7394681545358986526,7/22/2024 21:21
"I think it’s safe to say that if my eyeliner can stay on through swim practice, it can do anything. The @KVD Vegan Beauty New + Improved Tattoo Liner has me in check always. #KVDPartner #KVDDareToTry",2900000,20000,37,264,1471,https://www.tiktok.com/@daniellaaramirezzz/video/7392767705171889439,7/17/2024 17:34
BROTHA EEEEEEEEEEEEUUUUUUUUW #teamusa #olympian #olympics #olympicscountdown #artisticswimming #artisticswimmer #hair #knox #gelatina #myhairitdontmove ,660700,7020,24,29,198,https://www.tiktok.com/@daniellaaramirezzz/video/7392409182252666142,7/16/2024 18:23
NOOO PLZ IM A STARTRRR #artisticswimming #hair #knox #gelatina #myhairitdontmove #knoxremoval #knoxgelatine #gel #gelatina ,74000000,1800000,2868,14400,48000,https://www.tiktok.com/@daniellaaramirezzz/video/7390903715923905835,7/12/2024 17:01
"#essencepartner @essence cosmetics Call me Queen Mascara gives me confidence on competition days. So i can do cool stuff like this, while feeling like the queen i am #essencecosmetics #callmequeen",499200,3398,11,29,129,https://www.tiktok.com/@daniellaaramirezzz/video/7390170573503991071,7/10/2024 17:36
"KNOX AVEC MOI, and this was probably the least excited ive been like…ever. BUT WE DID IT  #teamusa #olympian #olympics #olympicscountdown #artisticswimming #artisticswimmer #team #hair #knox #gelatina #myhairitdontmove #knoxGRWM ",1900000,168900,517,1734,3020,https://www.tiktok.com/@daniellaaramirezzz/video/7389659376224570655,7/9/2024 8:32
NO FREAKING WAYYYYYY,2500000,25500,23,339,743,https://www.tiktok.com/@daniellaaramirezzz/video/7388826487673081119,7/7/2024 2:40
🫶🏽 1 more day here in Budapest!!!!,437100,4328,7,18,127,https://www.tiktok.com/@daniellaaramirezzz/video/7388601407902960926,7/6/2024 12:07
"WE ARE HERE IN BUDAPEST, this was right when we landed and i forgot to post LOL. This is our last competition before we leave for THE MFING OLYMPICS!!  #teamusa #olympian #olympics #olympicscountdown #compressionsocks #artisticswimming #artisticswimmer #team ",356600,2873,9,10,114,https://www.tiktok.com/@daniellaaramirezzz/video/7387843957780237599,7/4/2024 11:07
"Trust me when i tell you this @loréal paris usa Infallible Setting Mist is a game changer when it comes to waterproofing your makeup look. Im showing ya’ll a true test of its effectiveness with this sauna and ice bath routine, AND to no one’s surprise, it REALLY works. #LOrealParisPartner #LOrealParisMakup #InfallibleGameFace #SetforSuccess ",20300000,11700,48,470,1959,https://www.tiktok.com/@daniellaaramirezzz/video/7387170084290170142,7/2/2024 15:32
Every day I'm drinking so much more water than usual because of this @Simple Modern limited edition USA tumbler! Get yours today before they sell out with the link in my linktree #SimpleModernPartner,309500,1009,9,19,55,https://www.tiktok.com/@daniellaaramirezzz/video/7386496879065877790,6/30/2024 20:00
WHAT DID I TELL YALL. @KVD BEAUTY NEW + IMPROVED tattoo liner is my ride-or-die liner in the pool and shower. I love you guys and I always want to give you the best recs 🤧❤️ #KVDPartner #KVDDareToTry,344600,2220,10,56,209,https://www.tiktok.com/@daniellaaramirezzz/video/7385317350205099295,6/27/2024 15:43
DOES ANYONE ELSE DO THIS? ,341100,4710,23,97,216,https://www.tiktok.com/@daniellaaramirezzz/video/7383900776952810782,6/23/2024 20:06
i thought of this angle randomly and OMG I WISH I COULD DO THIS EVERYTIME!! this was so SATISFYING #artisticswimming #satisfying #satisfyingvideo #paris2024 #olympics #teamusa #KNOX #gel #gelatin #hair ,501000,3650,15,46,208,https://www.tiktok.com/@daniellaaramirezzz/video/7379846565160127787,6/12/2024 21:53
im not usually one for crying on the internet but this moment… I couldnt not share this joy. ❤️  #olympics #artisticswimming #paris2024 #paris2024olympics #teamusa ,514400,17800,474,114,282,https://www.tiktok.com/@daniellaaramirezzz/video/7378268465724968234,6/8/2024 15:49
"When I’m getting’ in the water for competition, the last thing I want is a patchy look of foundation coming off. But with the Fresh Wear Foundation and Full Wear Concealer by @loréal paris usa , I now never have to worry about my face card declining 💁🏼‍♀️. MAJOR SLAY! #LOrealParisPartner #LOrealParisMakup #InfallibleGameFace #SetforSuccess",46600000,401300,357,2241,12300,https://www.tiktok.com/@daniellaaramirezzz/video/7377881531504954670,6/7/2024 14:48
"i love it here, this is from Tech Team day 🤧 #olympics #artisticswimming #teamusa #gel #gelatin #gelatina #KNOX #synchronizedswimming ",52100000,1900000,7054,116300,66300,https://www.tiktok.com/@daniellaaramirezzz/video/7375988788700400938,6/2/2024 12:23
guys idk if i have it in me to take this out today.  #olympics #artisticswimming #teamusa #gel #gelatin #gelatina #KNOX #synchronizedswimming #knoxwithme #daniellaramirez #knoxremoval ,1800000,93100,425,686,1588,https://www.tiktok.com/@daniellaaramirezzz/video/7375713794523286827,6/1/2024 18:36
i love you momma ,336600,5817,10,32,179,https://www.tiktok.com/@daniellaaramirezzz/photo/7375228607897029934,5/31/2024 0:00
i cant believe the time is here again 😅 #olympics #artisticswimming #teamusa #gel #gelatin #gelatina #KNOX #synchronizedswimming #knoxwithme #daniellaramirez #markham ,429500,5819,11,64,243,https://www.tiktok.com/@daniellaaramirezzz/video/7375203941258202410,5/31/2024 9:38
GET UNREADY WITH ME AFTER ACRO. my hair was not budging but im telling u THIS LINER was STANDING ON BUSINESS. #olympics #artisticswimming #teamusa #gel #gelatin #gelatina #KNOX #synchronizedswimming #knoxwithme #daniellaramirez #knoxremoval ,766100,25200,67,94,1098,https://www.tiktok.com/@daniellaaramirezzz/video/7374217162891742506,5/28/2024 17:48
my favorite time of day 🤧,258700,2727,8,90,141,https://www.tiktok.com/@daniellaaramirezzz/video/7374197736712736042,5/28/2024 16:33
This probably wont be funny to anyone else but omg i was dying at this #guessthephrase #olympics #artisticswimming #teamusa ,217200,3054,4,21,155,https://www.tiktok.com/@daniellaaramirezzz/video/7373844378470616363,5/27/2024 17:42
im loving a dream. 2 months to go 😫 🥹#olympics ,181800,1289,2,11,38,https://www.tiktok.com/@daniellaaramirezzz/video/7373709965132877098,5/27/2024 9:00
"so obviously everyone is going say whatever sport in the comments but, hey at least u get to BREATHE…. and if youre freediving (respect🫡)  also theres no way to compare this is a friendly jokd plz be respectful to others in the comments  #artisticswimming #teamusa #olympics #gel #gelatin #gelatina #KNOX #synchronizedswimming ",4300000,643600,808,1612,8200,https://www.tiktok.com/@daniellaaramirezzz/video/7373666371911126315,5/27/2024 6:11
if Jaimes not your favorite person youre wrong. i love her. 😂❤️‍🔥  #artisticswimming #olympics #gel #gelatin #gelatina #KNOX #knoxwithme #teamusa #daniellaramirez ,14400000,444900,295,2458,20300,https://www.tiktok.com/@daniellaaramirezzz/video/7370863254274329899,5/19/2024 16:53
are u not entertained?  #artisticswimming #olympics #gel #gelatin #gelatina #KNOX #knoxwithme #teamusa #daniellaramirez ,2200000,35200,31,242,1426,https://www.tiktok.com/@daniellaaramirezzz/video/7369383719443975470,5/15/2024 17:12
"Since learning all these new techniques from the AMAZING @GLAMZILLA I’ve never felt more beautiful and confident in my skin. From makeup techniques to life advice, she has me feeling fabulous and unbreakable especially in my @loréal paris usa Infallible foundation!   #LOrealParisPartner #LOrealParisMakup #InfallibleGameFace #SetforSuccess",234800,2051,8,20,133,https://www.tiktok.com/@daniellaaramirezzz/video/7368995177899363626,5/14/2024 16:04
What is knox? how do you make it? VOILA! #artisticswimming #synchronizedswimming #teamusa #olympics #gel #gelatin #gelatina #knox #knoxgelatin #knoxwithme ,287600,6016,25,93,337,https://www.tiktok.com/@daniellaaramirezzz/video/7366418325175356715,5/7/2024 17:25
GET UN READY WITH ME!! been a while sonce my last one. This was after our free routine here in France. Cant wait to show you more !!!! #artisticswimming #synchronizedswimming #teamusa #olympics #france #knox #knoxwithme #knoxremoval #gel #gelatina #daniellaramirez ,1300000,34100,162,1017,956,https://www.tiktok.com/@daniellaaramirezzz/video/7365481899273342254,5/5/2024 4:51
"WOOHOO !! this was a good one, I posted knox peelies yesterday and I dont know why it didnt do well ill post later. LOVE YALL 💋❤️‍🔥 #artisticswimming #synchronizedswimming #teamusa #olympics #france #knox #knoxwithme #knoxremoval #gel #gelatina #france #frenchopen ",10900000,256300,106,1206,6462,https://www.tiktok.com/@daniellaaramirezzz/video/7365106797121785130,5/4/2024 4:35
we will see 🤷‍♀️ #artisticswimming #olympictestevent #frenchopen #KNOX #GEL #GELATINA #TeamUSA ,548200,5967,6,32,120,https://www.tiktok.com/@daniellaaramirezzz/video/7364764627001003310,5/3/2024 6:28
JUST KNOXED WILL BE POSTING THE FULL THING LATER LOVE YALL WE COMPETE SOON AHHH #artisticswimming #swimming #worldaquatics #frenchopen #KNOX #GEL #GELATINA ,272600,2747,1,7,85,https://www.tiktok.com/@daniellaaramirezzz/video/7364742920953531690,5/3/2024 5:03
I CANT BELIEVE WE ARE HERE ,152800,3370,11,15,81,https://www.tiktok.com/@daniellaaramirezzz/video/7363993647513095466,5/1/2024 4:36
✨pretty drowning ✨,166100,4530,18,33,138,https://www.tiktok.com/@daniellaaramirezzz/photo/7361603109497490730,4/24/2024 0:00
"#Ad Last week I got the amazing opportunity of presenting a new partnership at the 2024 TEAM USA MEDIA SUMMIT. Guild is proud to be an Official Education, Skilling and Career Mobility Partner of Team USA and LA28. I'm beyond grateful for this opportunity and even more excited for this partnership! GRWM to make this announcement on a panel at the summit!!! #Guild #LA28 #TeamUSA ",218000,6396,1592,516,1188,https://www.tiktok.com/@daniellaaramirezzz/video/7361190056465321258,4/23/2024 15:16
i love our babies so much but omg Kilo is so high energy 😮‍💨😅,116800,1793,11,14,61,https://www.tiktok.com/@daniellaaramirezzz/video/7360517162894757166,4/21/2024 19:45
WE MADE ITTTTT ITS 2:04 AM DAY 1 LETS GET SOME SHUTEYE AND GET IT GOING PPL! ,103900,732,4,3,31,https://www.tiktok.com/@daniellaaramirezzz/video/7358340640469421342,4/15/2024 22:59
"10/10 BEST KNOX JOB, 0/10 for lighting HAHAHAHAHA!!!!!!!  #artisticswimming #swimming #worldaquatics #worldchampionship #FINA #KNOX #GEL #GELATINA ",1100000,57600,61,227,1244,https://www.tiktok.com/@daniellaaramirezzz/video/7357839485133966623,4/14/2024 14:35
"Putting my hair into a protective style can’t happen without an amazing hair serum to help keep my hair as healthy as possible. A happy scalp is healthy hair, that’s why I love the Vegamour GRO Hair Serum because it keeps my hair healthy and my confidence higher. Use code FUTUREYOU for 20% off subscriptions #vegamourpartner @sephora",2300000,22100,24,122,504,https://www.tiktok.com/@daniellaaramirezzz/video/7353358400434064671,4/2/2024 12:46
Trying something new! These are all my current skincare products that im filtering through.  #skincare #skincareroutine #skincareproducts #nighttimeroutine #nighttimeskincare ,119500,2222,10,23,168,https://www.tiktok.com/@daniellaaramirezzz/video/7353261394982128926,4/2/2024 6:29
…mhmm,112200,1217,8,7,83,https://www.tiktok.com/@daniellaaramirezzz/video/7351567971644476702,3/28/2024 16:58
DAY IN THE LIFE! Kind of all over the place but wanted to share what training and my day looked like. LOVE u GUYS 🫶🏽,106500,921,2,5,34,https://www.tiktok.com/@daniellaaramirezzz/video/7350912831564303646,3/26/2024 22:36
Just landed at JFK to shoot for a project with @loréal paris usa !!! They flew me out here for the weekend and im  SO EXCITED TO SHARE THIS WEEKEND WITH YOU ALL!!!,105400,1259,7,7,43,https://www.tiktok.com/@daniellaaramirezzz/video/7349688154359680287,3/23/2024 15:23
"#LOrealParisPartner When looking for a hair care routine, moisture and removing build up are my nonnegotaibles. That's why to me the EverPure Clarify + Restore is goated. #LorealParisHairCare  ",149900,1930,9,22,156,https://www.tiktok.com/@daniellaaramirezzz/video/7345925983721016606,3/13/2024 12:04
THIS STUFF IS SO STICKY ITS LIKE HALF DRIED GLUE 🤨 #teamusa #artisticswimmer #artisticswimminghair #parisbound #artisticswimming #daniellaramirez #gel #knox #knoxwithme #knoxremoval #gelatina #gelatine ,204600,4089,10,25,206,https://www.tiktok.com/@daniellaaramirezzz/video/7345656209606741279,3/12/2024 18:37
breaking the cast on my gel is so satisfying😛  #curlyhair #hairoil #fingercoils ,157800,3896,19,11,148,https://www.tiktok.com/@daniellaaramirezzz/video/7344471910333353246,3/9/2024 13:02
honestly this kinda killed my legs after practice hahaha #teamusa #artisticswimmer #artisticswimminghair #parisbound #artisticswimming #daniellaramirez ,187800,2200,5,15,82,https://www.tiktok.com/@daniellaaramirezzz/video/7344396923870252319,3/9/2024 8:11
I love you all so much! KNOW WITH ME #teamusa #artisticswimmer #artisticswimminghair #parisbound #artisticswimming #gel #knox #knoxwithme #daniellaramirez #knoxremoval #paris2024 #myhairitdontmove ,459600,10800,88,251,512,https://www.tiktok.com/@daniellaaramirezzz/video/7344220915254725919,3/8/2024 20:48
"This was one of the sweetest, most genuinly touching thing ever. IDK IF YALL WILL SEE THIS BUT ILY THANK YOU!  #teamusa #artisticswimmer #artisticswimminghair #parisbound #artisticswimming ",212100,3411,2,15,88,https://www.tiktok.com/@daniellaaramirezzz/video/7341056961997180190,2/29/2024 8:10
ANOTHA DAY ANOTHA EAR SLAY! this comp was kinda loaded with good ear peelies.  ALSO OMG I LOVE YOU GUYS THANK YOU SO MUCH FOR 458k IM SO INCREDIBLY GRATEFUL 🥹 #teamusa #artisticswimmer #artisticswimminghair #gel #knox #knoxwithme #daniellaramirez #parisbound #knoxremoval #knoxonears ,2800000,57200,91,248,3013,https://www.tiktok.com/@daniellaaramirezzz/video/7340099747304279326,2/26/2024 18:15
This knox was so good it stayed ALL DAY! Also special shoutout to kiki for holding the phone against the glasss gahahaha. LOVE YALL #teamusa #artisticswimmer #artisticswimminghair #gel #knox #knoxwithme #daniellaramirez #parisbound #knoxremoval #paris2024 ,708300,8244,27,67,419,https://www.tiktok.com/@daniellaaramirezzz/video/7339302930048126238,2/24/2024 14:43
AREPITAS EN LA MAÑANA 😮‍💨😮‍💨🤌 THANK YOU LORD. Im back in my hometown in Florida for a short break before training starts up again 🤪! ,286900,7459,37,20,299,https://www.tiktok.com/@daniellaaramirezzz/video/7338126923639360798,2/21/2024 10:40
This is what dreams are made offffffff #teamusa #artisticswimmer #artisticswimminghair #gel #knox #knoxwithme #daniellaramirez #parisbound #knoxremoval ,33800000,984600,784,2493,27400,https://www.tiktok.com/@daniellaaramirezzz/video/7337102546177215774,2/18/2024 16:25
Callista is the real start of the show here haha. This was after texh team prelims and we had to train after the competiton and i wanted to get my knox out.  Also Featuring the origin story of the Synkro Loverz knox which YOU CAN BUY (link in bio) hand made by victor CANO and andrea FUENTES.  LOVE YALL #teamusa #artisticswimmer #artisticswimminghair #gel #knox #knoxwithme #daniellaramirez ,13400000,596500,1290,1091,18400,https://www.tiktok.com/@daniellaaramirezzz/video/7335879139364277534,2/15/2024 9:17
im living a literal dream #parisbound #paris2024 #teamusa ,425900,14800,43,15,392,https://www.tiktok.com/@daniellaaramirezzz/video/7333668478680943903,2/9/2024 10:19
#stitch with @MEGS uh oh #artisticswimming #gel #knox #knoxwithme #teamusa ,438800,7536,10,21,284,https://www.tiktok.com/@daniellaaramirezzz/video/7333488285542550814,2/8/2024 22:39
jaime puts knox on her ears on purpose lol #artisticswimming #gel #knox #knoxwithme #teamusa #artisticswimmer #artisticswimminghair #gelatina #hair #daniellaramirez ,6000000,101700,114,688,3079,https://www.tiktok.com/@daniellaaramirezzz/video/7333055126145404190,2/7/2024 18:39
knoxed for life #artisticswimming #gel #knox #knoxwithme ,436300,3243,3,8,70,https://www.tiktok.com/@daniellaaramirezzz/video/7332379463088426270,2/5/2024 22:57
"peelies will return one day i PROMISE, just not today🫤. #artisticswimming #gel #knox #knoxwithme #teamusa #artisticswimmer #artisticswimminghair #gelatina #hair #myhairitdontmove ",485100,7176,18,26,284,https://www.tiktok.com/@daniellaaramirezzz/video/7332119368685423903,2/5/2024 6:07
Replying to @Aki  no actually its really easy!!! #artisticswimming #gel #knox ,938700,27500,51,40,788,https://www.tiktok.com/@daniellaaramirezzz/video/7331946952084475167,2/4/2024 18:58
Knox w/ me for World Championships Acro Finals!!! #knox #knoxwithme #artisticswimming #teamusa #artisticswimmer #artisticswimminghair #gelatina #gel #hair #myhairitdontmove ,11100000,617800,721,1882,19600,https://www.tiktok.com/@daniellaaramirezzz/video/7331797021084503327,2/4/2024 9:16
Making this had us CACKLING. We are here at World Champs in Qatar tho LETS GOO! #artisticswimming #bestie ,244800,1026,7,7,33,https://www.tiktok.com/@daniellaaramirezzz/video/7330321714070555935,1/31/2024 9:52
Throwback to Panams where I did peelies in front of a dining hall full of other world class athletes. Just swimmer things 🤪 #artisticswimming #teamusa #artisticswimmer #artisticswimminghair #knox #gelatina #knoxremoval #gel #peelies #hair #panamericangames ,3200000,86400,115,205,1760,https://www.tiktok.com/@daniellaaramirezzz/video/7326704903815040286,1/21/2024 15:56
Pre knox Ritual!! Something about this process really is so meditative 🧘 like battle paint. #artisticswimming #teamusa #artisticswimmer #artisticswimminghair #knox #gelatina #knoxremoval #gel #daniellaramirez ,301800,6292,14,21,302,https://www.tiktok.com/@daniellaaramirezzz/video/7325581706285550879,1/18/2024 15:18
i obviously did not get the going under memo#artisticswimming #teamusa #artisticswimmer #artisticswimminghair ,271300,2003,2,6,55,https://www.tiktok.com/@daniellaaramirezzz/video/7325230649189731615,1/17/2024 16:36
im actually dying at this sound what is it frommmmm #artisticswimming ,241400,1927,2,3,75,https://www.tiktok.com/@daniellaaramirezzz/video/7324469682721918254,1/15/2024 15:23
yall the pool was 69 on monday idk WHAT California is on but it is NOT it #teamusa #artisticswimming #artisticswimmer #,233600,4006,7,3,77,https://www.tiktok.com/@daniellaaramirezzz/video/7323347404701388062,1/12/2024 14:48
Sauna and Ice Baths! Grateful that I have the opportunity to do this on the weekends. #sauna #icebathrecovery @Nikki Dzurko @rubyrem ,219900,1705,7,9,106,https://www.tiktok.com/@daniellaaramirezzz/video/7321547848573635870,1/7/2024 18:24
another day another run through slay #artisticswimming #teamusa ,231400,5499,21,10,146,https://www.tiktok.com/@daniellaaramirezzz/video/7320773482709568798,1/5/2024 16:20
Using the CeraVe Healing Ointment is a great way I protect my skin from the chlorine of the pool and also heal its moisture barrier as I sleep! #CeraVePartner #CeraVe #DevelopedWithDerms @CeraVe ,14500000,61000,100,980,3198,https://www.tiktok.com/@daniellaaramirezzz/video/7320712143798586654,1/5/2024 12:22
Last Day of the YEAR!!! This year was so full of happiness and I got the chance this year to share my life on this playform and I cant wait to share even MORE in 2024. #CapCut ,200400,1504,3,2,58,https://www.tiktok.com/@daniellaaramirezzz/video/7318888900145974571,12/31/2023 14:26
BEFORE YOU ASK this was French open from a few months ago 🥵 LOVE YOU GUYS! #artisticswimming #hair #knox #gelatina #myhairitdontmove #knoxremoval #knoxgelatine #gel #teamusa #Gel #peelies #daniellaramirez #artisticswimminghair ,3700000,81500,77,162,1917,https://www.tiktok.com/@daniellaaramirezzz/video/7315243047766330655,12/21/2023 18:39
they saved it for me to film after they spilled it 🥹 real teamates hahaha #artisticswimming #hair #knox #gelatina #myhairitdontmove #knoxremoval #knoxgelatine #gel #teamusa ,431200,9337,16,16,318,https://www.tiktok.com/@daniellaaramirezzz/video/7310378821985881390,12/8/2023 16:03
"Super proud to have shared some amazing products with my team from Aquaphor, having us feeling comfortable in our skin heading to Chile.  The gifts featured were ★ Aquaphor Healing Ointment ★ Aquaphor Healing Balm Stick  ★ Aquaphor Lip Repair ★ Aquaphor Lip Repair Stick ★ Aquaphor Repairing Hand Masks  ★ Aquaphor Repairing Foot Masks THANK YOU SO MUCH!!  @AquaphorUS #Ad #AquaphorB2S ",387600,4189,8,10,162,https://www.tiktok.com/@daniellaaramirezzz/video/7300268633710873902,11/11/2023 10:10
KNOX WITH ME FOR FREE TEAM! #artisticswimming #hair #knox #gelatina #myhairitdontmove #knoxremoval #knoxgelatine #gel #teamusa ,1400000,29400,42,31,711,https://www.tiktok.com/@daniellaaramirezzz/video/7299525584806251818,11/9/2023 10:07
BEST FEELING IDK WHY!!! #artisticswimming #hair #knox #gelatina #myhairitdontmove #knoxremoval #knoxgelatine #gel #teamusa #santiago2023 ,11500000,168900,117,213,5127,https://www.tiktok.com/@daniellaaramirezzz/video/7297461286194056494,11/3/2023 21:36
knox with me for TECH TEAM! Having a great time in this battle here at the Santiago Panam Games. LETS GO TEAM #artisticswimming #hair #knox #gelatina #myhairitdontmove #knoxremoval #knoxgelatine #gel #teamusa #fukuoka #santiago #chile #panamericangames #santiago2023 ,15700000,652600,1642,2056,17000,https://www.tiktok.com/@daniellaaramirezzz/video/7296623403094625578,11/1/2023 15:25
#duet with @ Nah im gonna have to say no to this one. The clumps were giving snot a little bit #artisticswimming #hair #knox #gelatina #myhairitdontmove #knoxremoval #knoxgelatine #gel #teamusa ,580500,6322,11,8,315,https://www.tiktok.com/@daniellaaramirezzz/video/7293968837102406954,10/25/2023 11:44
ITS SHOW DAY!!! not competition yet but we are doing a show today in Brazil for the public. 🥹 #artisticswimming #hair #knox #gelatina #myhairitdontmove #knoxremoval #knoxgelatine ,575300,8265,17,48,484,https://www.tiktok.com/@daniellaaramirezzz/video/7292448339340250414,10/21/2023 9:24
nahhhhhh broooooooo. ,395800,5175,13,14,160,https://www.tiktok.com/@daniellaaramirezzz/video/7292197887633542443,10/20/2023 17:12
Free team Finals knox was at the pool on the last day and i was not happy lol.  #artisticswimming #hair #knox #gelatina #gel #myhairitdontmove #knoxremoval #knoxgelatine #teamusa #worldaquatics #fukuoka #worldaquaticschampionships ,771600,29200,37,70,845,https://www.tiktok.com/@daniellaaramirezzz/video/7288854379157835051,10/11/2023 16:57
no falsies 🤧😎,350400,4508,10,10,168,https://www.tiktok.com/@daniellaaramirezzz/video/7285538221780487467,10/2/2023 18:29
"Caption:  Pack my Lunch with me! I shared the other cans with my teammates, they loved them!  @Poppi #sodasback #poppipartner ",333500,3286,8,7,116,https://www.tiktok.com/@daniellaaramirezzz/video/7282734509718523166,9/25/2023 5:09
cody is me bro ,515400,11000,15,37,318,https://www.tiktok.com/@daniellaaramirezzz/video/7280298967299116330,9/18/2023 15:38
GRWM for Natalias BDay Party!!! @drinkpoppi #sodasback #poppipartner ,456900,3419,21,20,162,https://www.tiktok.com/@daniellaaramirezzz/video/7278125060412607786,9/12/2023 19:02
