Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
"Think she looks like me? New addition to the family…. my very own bobblehead!  Just arrived & it’s super cool how she turned out.  Complete with matching tattoos, OLY GOLD medal & the perfect side shave. 😍  So fun!!!  check out the link in my bio if you want one.  . Thanks @National Bobblehead Museum for making this happen. @IBSF | Bobsleigh | Skeleton @USA Bobsled/Skeleton @Team USA @Olympics ",1192,31,2,2,1,https://www.tiktok.com/@kailsarmbruster/video/7267328907219684654,8/14/2023 16:47
"The last 1.5 years have been full of hormones going through multiple rounds of IVF, having done 3 FET cycles in the last 5 months. Getting back into a routine and training again feels good.  . #athlete #olympics #bobsled #training #ivf #ivfjourney #ivfwarrior ",783,29,1,0,0,https://www.tiktok.com/@kailsarmbruster/video/7262418291770019115,8/1/2023 11:12
"I gave a speech last week and a question I got asked was ‘what keeps you motivated on down days?’……..it’s about reminding myself why I do this, what the goal is and having great partners that support & empower me.  . #reminiscing #goals #stepbystep #bobsled #athlete  @IBSF | Bobsleigh | Skeleton @USA Bobsled/Skeleton @Team USA @Olympics @Reign Body Fuel @Kaysha Love #zekelmanindustries #zekelmanindustries🇨🇦 ",1155,30,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7261719255794699563,7/30/2023 13:59
Learned something new today with my niece #bodyrock #dance #sweaty ,463,7,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7257374103353445675,7/18/2023 20:58
Took me longer than planned to dig out this heart… and got a sunburn on my back…..but worth it for the cute family pic. ❤️  #hearttrend #beachday #love #sandheart #familypictures ,1381,49,1,0,1,https://www.tiktok.com/@kailsarmbruster/video/7254294343748455723,7/10/2023 13:47
"Frozen Embryo Transfer Day!  We are hopeful & positive, taking it one step at a time. This is our first transfer after 2 rounds of #IVF last year. Praying for the future.  #endometriosis #ivfwarrior #fet #infertilitysupport #motherhood #athlete #rainbowbaby #baby ",2003,49,5,3,0,https://www.tiktok.com/@kailsarmbruster/video/7216525144276159786,3/30/2023 19:03
Never listen to the people who doubt you. They project thier own limitations onto you. Surround yourself with the people who make you better and believe in the dream too. this is how history gets made.  . #betagainstme #history #athletelife #olympics #bobsled #goldmedals #worldchampion #workout ,863,36,0,0,0,https://www.tiktok.com/@kailsarmbruster/video/7215315006106144043,3/27/2023 12:47
IVF update 💥  Reached 2 milestone appointments and got the all clear to begin our embryo transfer.  I needed to make sure my uterus is clear & healthy after my endometriosis diagnosis.  My body is ready and we now have a future FET date.  : #motherhood #ivf #ivfjourney #athlete #olympicathlete #bobsled #rainbowbaby #lifegoals ,3116,147,4,0,0,https://www.tiktok.com/@kailsarmbruster/video/7213444693395377450,3/22/2023 11:49
"Bobsled has taught me a lot and armed me with the tools to face this IVF journey. Throughout this racing season I have kept up with my IVF plan, which included 2 Lupron Depot shots. They are required to help stop my endometriosis symptoms and prepare my body for the implantation / transfer stage. Both shots were during the season, one of which happened to fall the day before my World Championship race.  It’s not an ideal situation as an athlete, due to side effects and the unknown hormone changes, but it’s worth it to me. (Hot flashes are a real and crazy thing. 🔥🥵) We decided to do it during the season so we do not have to wait once we get home to begin the implantation stage / Embryo transfer .  I will stop at nothing to make my dream of becoming a mother come true. Having Travis by my side this season has made everything possible, family and sport wise. We are a team together in sport and in life.  . #ivf #ivfjourney #baby #motherhood #injections #hotflashes #athlete #olympics #bobsled #ivfwarrior",919,33,0,1,1,https://www.tiktok.com/@kailsarmbruster/video/7202090970853199147,2/19/2023 20:31
All good things must come to an end. So happy to be paired together for the final race of the World Cup season.  #moveshakedropchallenge #moveshakedrop #teammates #bobsled ,1620,130,3,2,4,https://www.tiktok.com/@kailsarmbruster/video/7200783491368275242,2/16/2023 7:57
"Dear 2022, thanks for the memories ⭐️  . #goldmedals #olympics #citizenship #newhouse #family #ivf #bobsled #athlete #honeymoon #vanityfairoscarparty #ivfjourney ",2441,86,3,0,3,https://www.tiktok.com/@kailsarmbruster/video/7180033764385377582,12/22/2022 9:58
@Snoop Dogg is my spirit animal 👑🥇🇺🇸 . @ibsfsliding @usabobsledskeleton @teamusa #winningmoment ,928,15,1,1,0,https://www.tiktok.com/@kailsarmbruster/video/7172697272663199019,12/2/2022 15:28
"Had to give my teammates a taste of the north. Sharing my 🇨🇦 roots with my fellow 🇺🇸.  Foods you can find at a gas station, snack edition. 🍫🍭  . . @usabobsledskeleton #canada #snackfoods #foodchallenge #americans #wheninrome #foodies ",1175,57,4,0,0,https://www.tiktok.com/@kailsarmbruster/video/7167815308080647470,11/19/2022 11:44
Feels good to be back on the fastest track in the world. Getting Ready for the season. Winter is here @usabobsledskeleton @ibsfsliding @teamusa #bobsled #athlete ,341,12,1,0,0,https://www.tiktok.com/@kailsarmbruster/video/7162587706332319022,11/5/2022 10:38
The day you plant the seed is not the day you eat the fruit.  . @teamusa @usabobsledskeleton @ibsfsliding @olympics @womenssports_tv @CVEATC ,514,12,1,0,0,https://www.tiktok.com/@kailsarmbruster/video/7162226695322242347,11/4/2022 11:17
"This is one of the few ways we get to actually practice our sport in the summer. Pushing on ice can only be done in Lake Placid at the icehouse. There’s only 1 in all of 🇺🇸, And only 2 in all of North America. Allows us to get reps & reps focusing on our start technique.  A fast start can make or break a race result. It’s 1/3 of what it takes to win consistently.  . #bobsled #push #athlete #trainingday #icehouse #bobsleigh #teamwork",886,18,4,1,0,https://www.tiktok.com/@kailsarmbruster/video/7160639524798729515,10/31/2022 4:38
"Bobsled 101: 🇺🇸 Sleds getting packed up and shipped out for our first race of the season, in Whistler 🇨🇦.  We load our own equipment into sea crates to travel from track to track. They get flown inside planes or driven on trucks depending on the distance it has to travel around the 🌎. Sleds weigh 375lbs (170kg).  Tool boxes, runners, polishing equipment, weights, bags (gear), etc… . . @teamusa @usabobsledskeleton @ibsfsliding #athlete #bobsled ",567,15,1,4,0,https://www.tiktok.com/@kailsarmbruster/video/7159210406622416171,10/27/2022 8:12
