Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
"every sport is unique! we actually cross train with ballet, gymnastics, and crossfit along with everything else we do in the pool :) #sport #trending #fyp #trendingsound #artisticswimming ",12900,1083,2,19,26,https://www.tiktok.com/@call.me.kekes/video/7518867511975234847,6/22/2025 13:06
i really am paying attention but sometimes i can’t help the little dance 🤩😂 #athlete #workout #fyp #trending ,1189,60,0,0,2,https://www.tiktok.com/@call.me.kekes/video/7518187465933344031,6/20/2025 17:07
moving helps my nerves and my blood flow 😂 #anxiety #athlete #performance #fyp #trending ,2706,280,4,1,11,https://www.tiktok.com/@call.me.kekes/video/7518184435699731743,6/20/2025 16:55
"taking the first step away from the “majority” can be hard, but ultimately it can spark a positive change in your journey! #advice #change #goals #yougotthis #fyp #trending ",1054,74,3,3,1,https://www.tiktok.com/@call.me.kekes/video/7517729825541426463,6/19/2025 11:31
come w me to get my olympic rings tattoo! 🤩 #athlete #tattoo #olympians #vlog #fyp ,2709,235,13,2,2,https://www.tiktok.com/@call.me.kekes/video/7517476735030512926,6/18/2025 19:09
maybe this should’ve stayed in the drafts 😂 @Keeeee01 #fyp #random #dreaming ,1327,73,3,2,1,https://www.tiktok.com/@call.me.kekes/video/7516803151387741471,6/16/2025 23:35
my last 2 brain cells at the end of practice 👀 😂@rubyrem #practice #trendingsound #808 #fyp #athlete ,9788,862,7,49,47,https://www.tiktok.com/@call.me.kekes/video/7515636866540915998,6/13/2025 20:09
my favorite post practice drink  #latte #coffee #practice #athlete #trending #obsessed #fyp ,1082,65,3,1,1,https://www.tiktok.com/@call.me.kekes/video/7514470522487360798,6/10/2025 16:43
much needed break :) #fyp #trending #summer #break ,1794,154,1,2,2,https://www.tiktok.com/@call.me.kekes/video/7513740581722541343,6/8/2025 17:30
no description just vibes #thrifting #LA #summer #trending #fyp ,1315,85,1,3,2,https://www.tiktok.com/@call.me.kekes/video/7513703862532967710,6/8/2025 15:08
this was funny in my head #athlete #college #summer #trending #osu #fypシ ,1350,146,4,5,2,https://www.tiktok.com/@call.me.kekes/video/7512991019911204126,6/6/2025 17:02
"we can be pretty harsh on ourselves when it comes to fixing mistakes… don’t stress! you can fix it sometimes it’s a different process for everyone. no need to compare yourself to others around you, you do you boo. #athlete #advice #trending #sun #sports #secret ",927,44,3,3,1,https://www.tiktok.com/@call.me.kekes/video/7512181214581656862,6/4/2025 12:39
something abt it hits different i love it🤩 @lovemysilk #athlete #college #buckeye #silkmilk #trending #fyp ,2113,196,0,8,4,https://www.tiktok.com/@call.me.kekes/video/7511512465973267742,6/2/2025 17:24
everyone looks so good doing this dance…  #trending #fyp #dance #trendingsound ,1190,55,0,1,1,https://www.tiktok.com/@call.me.kekes/video/7511424747494722846,6/2/2025 11:44
reality is professional athletes get nervous too ;) mental strength is a big part of being an athlete and i am still working on it every day!! #trending #fyp #athlete #sports #advice ,7135,700,2,8,7,https://www.tiktok.com/@call.me.kekes/video/7510717800491650334,5/31/2025 14:00
i want one so bad 🥹 they are so precious 🥰 #prettylittlebaby #cow #cute #trending #fyp ,943,49,2,1,2,https://www.tiktok.com/@call.me.kekes/video/7510042065003154719,5/29/2025 18:18
"reminder that everyone has a different environment, this is a recommendation for when it makes the most sense for you 😊 hope this helps! #advice #athletes #foryoupage #trending ",1062,92,2,7,3,https://www.tiktok.com/@call.me.kekes/video/7509953749348011294,5/29/2025 12:36
"this is for all my anxious/overthinking people out there (same). it can feel really hard to get out of that negative headspace, believe me, i know. i promise it will be worth it if you at least try!! #tip #trendin #athlete #fyp #advice ",1068,68,1,5,2,https://www.tiktok.com/@call.me.kekes/video/7509198141762047263,5/27/2025 11:43
"I love getting to explain my sport because it is so unique. More and more people are starting to understand the strength and endurance it takes to compete. My favorite thing to remind people is to try your sport, and now hold your breath :) #artisticswimming #olympics #sports #trending #fyp #athlete #holyairball ",17300,2366,5,29,69,https://www.tiktok.com/@call.me.kekes/photo/7509180548749856031,5/27/2025 0:00
Mount Rainer is so beautiful 🤩🏔️#nature #travel #traveltiktok #beauty #rainer #trending ,818,43,1,0,1,https://www.tiktok.com/@call.me.kekes/video/7508869814811675934,5/26/2025 14:29
